symbol,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score
1102.TW,2021-12-31,2022-03-31,27843984000.0,6142802000.0,5153377000.0,5552517000.0,1022251000.0,3998184000.0,1.2,105955718000.0,71082366000.0,317056069000.0,136783183000.0,180272886000.0,33450618000.0,23699570000.0,7050329000.0,45131854000.0,0.1841058748671998,4204610018.894494,245973703000.0,0.0170937379387035,0.0221785099729307,0.0126103373848364,0.7587562724213557,0.2206150527884228,0.1850804468211158,0.1435923824694052,0.1760074574559713,,,55.81080493894667
1102.TW,2022-03-31,2022-05-15,19681118000.0,2975892000.0,2464263000.0,3434011000.0,717167000.0,2533389000.0,0.76,106203789000.0,65912135000.0,321741487000.0,132401833000.0,189339654000.0,38453415000.0,23966913000.0,7634708000.0,45131966000.0,0.2088423712096437,1949620471.7958093,255829352000.0,0.0076207849355605,0.0133801290246363,0.007873989219177,0.6992821112897988,0.1512054345693166,0.1252095028341378,0.1287218033040602,0.1008944315078672,,,38.648426263227456
1102.TW,2022-06-30,2022-08-14,24487758000.0,4151316000.0,3031094000.0,5619574000.0,891760000.0,4458384000.0,1.35,115705226000.0,81017768000.0,326387698000.0,148314821000.0,178072877000.0,48922235000.0,26789774000.0,8592984000.0,45119987000.0,0.158688185261018,2550095193.78444,245369930000.0,0.0103928594420043,0.0250368505025052,0.0136597795423037,0.8328883291979384,0.1695261771208291,0.123779972017038,0.182065830608094,0.1088318231719975,,,44.68604617990954
1102.TW,2022-09-30,2022-11-14,21925072000.0,2789881000.0,2001264000.0,5105855000.0,591366000.0,4415525000.0,1.33,113126909000.0,71668777000.0,327267048000.0,142052673000.0,185214375000.0,43367094000.0,31275872000.0,11666570000.0,45100000000.0,0.1158211504243657,1769475301.217132,255598271000.0,0.0069228766465995,0.0238400772078301,0.0134921160776321,0.7669635415717597,0.1272461499784356,0.0912774197503205,0.201391584939835,0.0034791893745518,,,35.43414865029541
1102.TW,2022-12-31,2023-03-31,24246555000.0,1838393000.0,1074652000.0,1037537000.0,399548000.0,609098000.0,0.19,111449752000.0,70962661000.0,324243127000.0,140009882000.0,184233245000.0,43486332000.0,28692869000.0,10415840000.0,45100000000.0,0.3850927725950978,660811281.7451329,253280466000.0,0.0026090100519048,0.0033061242556955,0.001878522470578,0.7599599192860116,0.0758207918609468,0.0443218428349924,0.0251210120365552,-0.1291995067947172,,,16.199072051450795
1102.TW,2023-03-31,2023-05-15,19208712000.0,1979571000.0,1459107000.0,3183531000.0,416452000.0,2687792000.0,0.81,120394175000.0,84154018000.0,333842918000.0,153785033000.0,180057885000.0,41352173000.0,28406133000.0,11016362000.0,45100000000.0,0.1308144949742911,1268234654.681547,249688900000.0,0.0050792592489355,0.0149273773820013,0.008051067897747,0.854086634417593,0.1030558946378081,0.0759606890873266,0.1399256753914577,-0.0240030063332784,,,26.947738361028637
1102.TW,2023-06-30,2023-08-14,21136474000.0,3352361000.0,2669044000.0,5525850000.0,1128967000.0,4163780000.0,1.26,123631973000.0,87933840000.0,335089649000.0,150966680000.0,184122969000.0,38029752000.0,32553025000.0,7934011000.0,42600000000.0,0.2043064867848385,2123740997.2858477,247155809000.0,0.0085927213520838,0.0226141258888781,0.0124258687560951,0.8199231243115572,0.1586054987222561,0.1262766911832125,0.1969950144002258,-0.1368554850958588,,,35.38566366704857
1102.TW,2023-09-30,2023-11-14,19893900000.0,2808556000.0,1864742000.0,3278590000.0,639483000.0,2705618000.0,0.82,121392947000.0,84451777000.0,335957754000.0,144251304000.0,191706450000.0,38046324000.0,32721438000.0,8242757000.0,39100000000.0,0.1950481761976947,1501027473.8207583,251505977000.0,0.0059681582590013,0.0141133383879363,0.0080534471009709,0.7524593147491907,0.1411767426195969,0.0937343607839589,0.1360023926932376,-0.0926415201737992,,,28.173868176460587
1102.TW,2023-12-31,2024-03-31,19943713000.0,2296699000.0,1467155000.0,1948397000.0,667356000.0,1325636000.0,0.4,122340909000.0,82887767000.0,336726851000.0,144863284000.0,191863567000.0,33229516000.0,29016580000.0,9567454000.0,39100000000.0,0.342515411386899,964631801.606654,253839084000.0,0.0038001705111993,0.0069092638103616,0.0039368289046839,0.7550327884814109,0.1151590478663627,0.0735647870584579,0.0664688666548701,-0.1774619940853453,,,21.21372491174777
1102.TW,2024-03-31,2024-05-15,16499750000.0,1757074000.0,1023613000.0,3631263000.0,815606000.0,2948055000.0,0.89,126200652000.0,88921160000.0,344976158000.0,150783839000.0,194192319000.0,32743169000.0,29123100000.0,8928470000.0,39100000000.0,0.2246067002032075,793702661.7848941,256054998000.0,0.0030997350881035,0.0151811102271248,0.0085456775247639,0.7764665450027403,0.1064909468325277,0.0620380914862346,0.1786727071622297,-0.141027779478395,,,23.253351383885423
